iter	RMSE
0	0.3933526748
1	0.3852573885
2	0.3774723406
3	0.3698738915
4	0.362600532
5	0.3555233553
6	0.3486733425
7	0.3419970248
8	0.3356169902
9	0.3293877975
10	0.3231620685
11	0.3172647521
12	0.3114488635
13	0.3059502349
14	0.3005333766
15	0.2953250285
16	0.2903731314
17	0.2855447562
18	0.2809052772
19	0.2764217321
20	0.2719500772
21	0.2676341481
22	0.2634454841
23	0.259223106
24	0.2551979893
25	0.2513270997
26	0.2475686273
27	0.2439611992
28	0.2403778151
29	0.2369797276
30	0.233799831
31	0.2305063784
32	0.2272646702
33	0.2241975362
34	0.2212263362
35	0.2183990258
36	0.2154990587
37	0.2127840897
38	0.2100590425
39	0.2075187468
40	0.2050192088
41	0.2025227398
42	0.2002118489
43	0.1978035239
44	0.195650488
45	0.1936405167
46	0.1914580323
47	0.1895093356
48	0.1875881382
49	0.185665025
50	0.183838343
51	0.1820547414
52	0.1803164338
53	0.178535123
54	0.176870379
55	0.1752229142
56	0.1735613307
57	0.1719660181
58	0.1703576228
59	0.1688159589
60	0.1672810608
61	0.1659034493
62	0.1644377196
63	0.1630494023
64	0.1616829267
65	0.16049861
66	0.1591628696
67	0.1580058571
68	0.1568904189
69	0.1556843864
70	0.1544131486
71	0.1533426059
72	0.1521849793
73	0.1511391357
74	0.1501992189
75	0.1492441802
76	0.148290392
77	0.1473667511
78	0.1464080087
79	0.1454697951
80	0.1445455008
81	0.1436154226
82	0.1427718467
83	0.1418895679
84	0.1410795204
85	0.1402668648
86	0.1394528912
87	0.1387281513
88	0.137940022
89	0.1371698532
90	0.1363947563
91	0.1356664468
92	0.1348805094
93	0.134239889
94	0.1335249208
95	0.1328529771
96	0.1321306654
97	0.1314734013
98	0.1308417071
99	0.1301304256
100	0.1295188255
101	0.1288733032
102	0.1282880428
103	0.1277689801
104	0.1271501245
105	0.1266000744
106	0.1260197538
107	0.1255157278
108	0.1250021616
109	0.1245619626
110	0.1240235352
111	0.1235665106
112	0.1231045824
113	0.1226181049
114	0.1221306276
115	0.1216452933
116	0.1211986737
117	0.1207253991
118	0.1203354
119	0.1198339755
120	0.119354322
121	0.1189489698
122	0.1185543553
123	0.118160298
124	0.1177425145
125	0.1172720627
126	0.1168760834
127	0.1164282411
128	0.1160399361
129	0.1156810141
130	0.1153546282
131	0.1150372712
132	0.1146538363
133	0.1143183019
134	0.1139776311
135	0.1136629933
136	0.1132804295
137	0.1129591828
138	0.112631333
139	0.1122457239
140	0.1119325664
141	0.1116497504
142	0.1113365722
143	0.1110131699
144	0.1107334887
145	0.1104114507
146	0.1101333678
147	0.1098295331
148	0.1096076612
149	0.1093064941
150	0.1090474119
151	0.1087974638
152	0.1085399118
153	0.1081950277
154	0.1079702807
155	0.1077085012
156	0.1074564548
157	0.1071657948
158	0.1068941615
159	0.1066756715
160	0.1064694076
161	0.106184001
162	0.1059150877
163	0.1057225061
164	0.1055136627
165	0.1052533037
166	0.1050278332
167	0.1048295502
168	0.1046387881
169	0.1044444509
170	0.1042075667
171	0.103951464
172	0.1037299265
173	0.1034587712
174	0.1032885977
175	0.1030520438
176	0.1028491716
177	0.1027041868
178	0.1025952359
179	0.1024320835
180	0.1022990558
181	0.1021087448
182	0.1019492398
183	0.10175972
184	0.1015314488
185	0.1013298727
186	0.1011388012
187	0.1009721211
188	0.1008199995
189	0.100688303
190	0.100566092
191	0.1003857136
192	0.1002184796
193	0.1000688772
194	0.09990310423
195	0.09975683263
196	0.09958690586
197	0.09941696512
198	0.09926776018
199	0.09908801091
200	0.09896584362
201	0.09881217705
202	0.09864202194
203	0.09842352216
204	0.09827608502
205	0.09811002396
206	0.09794641431
207	0.09782832689
208	0.09770308133
209	0.09751409229
210	0.09738543709
211	0.09721029292
212	0.09707131022
213	0.09689677638
214	0.09672863878
215	0.09657783275
216	0.09645134933
217	0.09630083341
218	0.09614744473
219	0.09599970733
220	0.09587629895
221	0.09573683055
222	0.09553534801
223	0.09544417086
224	0.09531044261
225	0.09512230507
226	0.09502259817
227	0.09490518505
228	0.09474922546
229	0.09465849568
230	0.09454794484
231	0.09438096065
232	0.09420718321
233	0.09408687756
234	0.09397894478
235	0.09379817096
236	0.09356208201
237	0.09342305513
238	0.09329043772
239	0.09317150365
240	0.09301526628
241	0.09288472161
242	0.09277236975
243	0.09268005572
244	0.09249925736
245	0.09238150839
246	0.09225227805
247	0.0921233625
248	0.09199125946
249	0.09182796441
250	0.0917189614
251	0.09157587129
252	0.09146850884
253	0.0913517343
254	0.0912150669
255	0.09111523612
256	0.090957772
257	0.09083575904
258	0.09071738788
259	0.09056990942
260	0.09045784411
261	0.0903114251
262	0.09019590195
263	0.09006514067
264	0.08991196899
265	0.08978699874
266	0.08969826006
267	0.08957126275
268	0.08948072243
269	0.08935864399
270	0.08923087671
271	0.08909038279
272	0.0889370087
273	0.08880154609
274	0.08868209603
275	0.08853419128
276	0.08842538239
277	0.08827648751
278	0.08816362667
279	0.08804878674
280	0.08789865303
281	0.08777635643
282	0.0876444969
283	0.0874727197
284	0.0873420853
285	0.08723995477
286	0.08714861124
287	0.0870653608
288	0.08693327549
289	0.08681016221
290	0.08671217285
291	0.08656904598
292	0.08644173506
293	0.08630911256
294	0.08615100934
295	0.08602126441
296	0.0858593059
297	0.08572572781
298	0.08558904128
299	0.08546492774
300	0.0853820859
301	0.08522266462
302	0.08505658459
303	0.08492831633
304	0.08480440653
305	0.08472322602
306	0.08458890096
307	0.08444871117
308	0.08435353421
309	0.08426958607
310	0.08414367596
311	0.08403157954
312	0.08388960479
313	0.08376109699
314	0.08364921903
315	0.08356971143
316	0.0834899274
317	0.08337210765
318	0.08323793734
319	0.08309877415
320	0.08301097887
321	0.08290913666
322	0.08277265527
323	0.0826398151
324	0.08254577437
325	0.08244523963
326	0.08237059132
327	0.08226884884
328	0.0821388847
329	0.0820166176
330	0.08192308785
331	0.08178041517
332	0.08167250322
333	0.08156042261
334	0.0814943164
335	0.08138108889
336	0.08126457758
337	0.08115747443
338	0.08105338792
339	0.08095562496
340	0.08084036395
341	0.08074445787
342	0.08063087533
343	0.08055512722
344	0.08044346416
345	0.08037907736
346	0.08023513968
347	0.08015873816
348	0.08005660309
349	0.07995466667
350	0.07984355702
351	0.0797318469
352	0.07959925524
353	0.07950747685
354	0.07940615695
355	0.07931364849
356	0.07922883468
357	0.07913554961
358	0.07902510107
359	0.07892913013
360	0.07885330564
361	0.07876493884
362	0.078627459
363	0.07851101749
364	0.07839016986
365	0.07829250513
366	0.07819994317
367	0.07807973669
368	0.0779366756
369	0.07784874324
370	0.07774679491
371	0.07765001726
372	0.07753015232
373	0.07743338795
374	0.07730489186
375	0.07719745078
376	0.07708715891
377	0.07701688739
378	0.07691198128
379	0.07681996912
380	0.07669516679
381	0.07658438269
382	0.07649517444
383	0.07635333622
384	0.07623010776
385	0.07613965154
386	0.07604143436
387	0.07594006225
388	0.07583907243
389	0.07574535159
390	0.07565777516
391	0.07558253857
392	0.07546458293
393	0.07537695488
394	0.07531610163
395	0.07525154097
396	0.0751480042
397	0.07507844971
398	0.07498946711
399	0.07489066879
400	0.07481577479
401	0.07471740005
402	0.07460128058
403	0.07447877256
404	0.07439455509
405	0.07427788595
406	0.07418143613
407	0.07408415473
408	0.07399546079
409	0.07391688952
410	0.07378427066
411	0.07368320102
412	0.07361164798
413	0.07350987932
414	0.07341406975
415	0.07335034816
416	0.073232339
417	0.07314895259
418	0.07305427695
419	0.07297188887
420	0.07289100946
421	0.07279470441
422	0.07270781679
423	0.07260622196
424	0.07255471783
425	0.07245288719
426	0.07234226831
427	0.07226826654
428	0.07217564451
429	0.07209439215
430	0.07202258716
431	0.07194859915
432	0.0718494806
433	0.07176730882
434	0.07165693454
435	0.07158491868
436	0.07150304792
437	0.07139067642
438	0.07129193545
439	0.07122002529
440	0.07112451518
441	0.07104170471
442	0.07096460236
443	0.07086339988
444	0.07079828534
445	0.07069826733
446	0.07059889224
447	0.07055335727
448	0.07043541113
449	0.07031698615
450	0.07022670657
451	0.07013628842
452	0.07007455031
453	0.07000695515
454	0.06991382728
455	0.0698546009
456	0.0697780882
457	0.06971014227
458	0.06961008832
459	0.06952178634
460	0.06943262283
461	0.06936510479
462	0.06929937477
463	0.06919708975
464	0.06910709727
465	0.06902166809
466	0.06897865996
467	0.06886968549
468	0.06879864821
469	0.06871513868
470	0.06865629662
471	0.06855730211
472	0.06846468163
473	0.06838262557
474	0.06829368327
475	0.06821136861
476	0.06813056025
477	0.06807004727
478	0.06799994513
479	0.06790467354
480	0.06783515383
481	0.06776349024
482	0.06769492886
483	0.06760190137
484	0.06751585661
485	0.06745950036
486	0.06737335938
487	0.06728791775
488	0.06719523462
489	0.06716696934
490	0.06708390428
491	0.06700524353
492	0.06694073653
493	0.06686887132
494	0.06679841745
495	0.06670536998
496	0.0666355469
497	0.06655054493
498	0.0664683857
499	0.06640500058
500	0.0663244204
501	0.06625588359
502	0.066166916
503	0.06609306185
504	0.06601087545
505	0.06594283932
506	0.06587629203
507	0.06582772995
508	0.0657811015
509	0.06570074919
510	0.06565513621
511	0.06561438463
512	0.06552697443
513	0.06549094488
514	0.06541931121
515	0.06534154164
516	0.06525683458
517	0.06517930566
518	0.06509768158
519	0.06503243924
520	0.06495100889
521	0.06487182954
522	0.06479755775
523	0.06473386913
524	0.06465556474
525	0.06458834178
526	0.0645450536
527	0.0644545463
528	0.06439524525
529	0.06431665216
530	0.06427765541
531	0.06420512182
532	0.06412261267
533	0.06406759495
534	0.06404225005
535	0.06400192267
536	0.0639271792
537	0.06388124954
538	0.06380761018
539	0.06374444466
540	0.06368293507
541	0.06361562893
542	0.06356800233
543	0.0634906582
544	0.06343813623
545	0.06336266418
546	0.06327919865
547	0.06321321425
548	0.06312698111
549	0.06305455564
550	0.06296946138
551	0.06289866564
552	0.06284805424
553	0.06278217457
554	0.06269114717
555	0.06261502023
556	0.06253350949
557	0.06246813341
558	0.06242329892
559	0.06233638036
560	0.06226895846
561	0.06220686687
562	0.06211749625
563	0.06204413564
564	0.0619741212
565	0.06189969935
566	0.06184559635
567	0.06175769897
568	0.0617011125
569	0.06164726226
570	0.06160259495
571	0.06157266382
572	0.06150151873
573	0.06146532653
574	0.06142556317
575	0.06135319624
576	0.06129875649
577	0.0612222464
578	0.06116742194
579	0.06110781958
580	0.06104205801
581	0.0609893948
582	0.06094175306
583	0.06088283692
584	0.06082770064
585	0.06077046689
586	0.06072800737
587	0.06068501879
588	0.06061303624
589	0.06053469198
590	0.06047370316
591	0.06041066048
592	0.06034583131
593	0.06026374898
594	0.06018744134
595	0.06013742634
596	0.06007679054
597	0.0600338071
598	0.05998591138
599	0.05992067539
600	0.05987115006
601	0.05980985424
602	0.05973264544
603	0.05967648948
604	0.05961848346
605	0.05956774038
606	0.05952872469
607	0.05946003656
608	0.05938283227
609	0.05931798177
610	0.05925795488
611	0.05919270663
612	0.05912345873
613	0.05905604489
614	0.05900334631
615	0.05893065227
616	0.05887951085
617	0.05880206622
618	0.05873129558
619	0.05865506672
620	0.05860409653
621	0.05856010458
622	0.05851129057
623	0.05845954462
624	0.05841409898
625	0.05834590918
626	0.05827307605
627	0.05822521724
628	0.05815485394
629	0.05810000575
630	0.05804124625
631	0.0579833101
632	0.05790818754
633	0.05782988737
634	0.05776190106
635	0.05772295086
636	0.05768118791
637	0.05763503039
638	0.05756017332
639	0.05750203213
640	0.05742769063
641	0.05738915862
642	0.05734111072
643	0.05727439232
644	0.05719949138
645	0.05715393037
646	0.05709551841
647	0.05701401154
648	0.05693366409
649	0.05686855708
650	0.05681471739
651	0.05674691004
652	0.05668971906
653	0.05662096242
654	0.05658020282
655	0.05651913494
656	0.05647456084
657	0.0564085582
658	0.05636173685
659	0.05629039509
660	0.05621221213
661	0.0561662142
662	0.05610559865
663	0.05603811356
664	0.05598364481
665	0.05595899905
666	0.055893661
667	0.05582071227
668	0.05576501706
669	0.05568643397
670	0.05561938171
671	0.05555810731
672	0.05551682685
673	0.05547173601
674	0.05538452178
675	0.05532870109
676	0.05526516917
677	0.05518974015
678	0.05513658972
679	0.05508454766
680	0.05502121121
681	0.05495547733
682	0.05488620922
683	0.05483308239
684	0.05477094467
685	0.05471033164
686	0.05463066366
687	0.05458396337
688	0.05450069091
689	0.05444125778
690	0.0543821787
691	0.05433165774
692	0.05426349405
693	0.05419308264
694	0.05411568563
695	0.05404704463
696	0.05399868767
697	0.05392644479
698	0.05387929606
699	0.0538377959
700	0.05377934756
701	0.0537302526
702	0.05367136068
703	0.05361011285
704	0.05354853083
705	0.05350870013
706	0.05345372989
707	0.05340140992
708	0.0533521389
709	0.05327411768
710	0.05322917548
711	0.05317153816
712	0.05314928315
713	0.05310334485
714	0.05305800388
715	0.05298823639
716	0.05294915698
717	0.05290352805
718	0.05280967613
719	0.05276027342
720	0.05271551319
721	0.0526547592
722	0.0525960156
723	0.05256134133
724	0.05250858404
725	0.05244883743
726	0.05239846726
727	0.0523416592
728	0.05230594765
729	0.05226005866
730	0.05218336448
731	0.05212274476
732	0.05205076602
733	0.05200424766
734	0.05193809003
735	0.05187878784
736	0.05181840272
737	0.0517595074
738	0.05172292167
739	0.05165571536
740	0.05160441262
741	0.05155963755
742	0.05152458867
743	0.05148638649
744	0.05142199195
745	0.05138126419
746	0.05132011031
747	0.05125506156
748	0.05120561046
749	0.05114522505
750	0.05108742928
751	0.05101723039
752	0.05096761156
753	0.05091816331
754	0.05087485276
755	0.05081192257
756	0.05073201791
757	0.0506778907
758	0.05062769957
759	0.0505806616
760	0.05052936053
761	0.05046321944
762	0.05038266326
763	0.05033980259
764	0.05029606244
765	0.0502459927
766	0.05020294222
767	0.0501420357
768	0.05008162083
769	0.05004372512
770	0.04999127357
771	0.04993725784
772	0.04988825048
773	0.04983668667
774	0.0497983305
775	0.04976955032
776	0.04973539461
777	0.04967188971
778	0.04962792122
779	0.04957559442
780	0.04952190244
781	0.04946224149
782	0.04940361003
783	0.04936694645
784	0.04929667347
785	0.04924371829
786	0.04918794245
787	0.04913693546
788	0.04911013954
789	0.04906391487
790	0.04901715261
791	0.04898309079
792	0.04893975216
793	0.04889413674
794	0.04883442611
795	0.04878913465
796	0.04873431636
797	0.04868419046
798	0.04862975578
799	0.0486049108
800	0.04856311797
801	0.04849662451
802	0.04845308369
803	0.04841487251
804	0.04839079916
805	0.04835600786
806	0.04832128018
807	0.0482787044
808	0.04824184742
809	0.04820380686
810	0.04816716754
811	0.04810851024
812	0.04806413649
813	0.04803670177
814	0.04799105237
815	0.04795044996
816	0.04789596166
817	0.04786763049
818	0.04781362258
819	0.0477904068
820	0.04775678577
821	0.04772774193
822	0.04768641486
823	0.04766530351
824	0.04761772752
825	0.04756270907
826	0.04751990857
827	0.0474980094
828	0.04745171175
829	0.04739037863
830	0.04734361061
831	0.04729764385
832	0.04725867674
833	0.04721873456
834	0.04716670684
835	0.04711170538
836	0.04706962979
837	0.04701553657
838	0.04698262531
839	0.04693575055
840	0.04687104438
841	0.04682061466
842	0.04677653339
843	0.04675210536
844	0.04670100246
845	0.04665134292
846	0.04661851501
847	0.04656185797
848	0.0465262649
849	0.04647972197
850	0.0464325239
851	0.04638552771
852	0.04634548259
853	0.04631623965
854	0.04625682585
855	0.04620119504
856	0.04614845945
857	0.04609744589
858	0.04606305214
859	0.04600896509
860	0.04597252685
861	0.04593612917
862	0.04587944848
863	0.04582345039
864	0.04579024941
865	0.04575044209
866	0.0457063732
867	0.04566136401
868	0.04561073875
869	0.04555726321
870	0.04551744627
871	0.04545596962
872	0.04542132279
873	0.04537536476
874	0.0453152063
875	0.04528219974
876	0.04522602361
877	0.04520346681
878	0.04516303781
879	0.04511615146
880	0.04508642073
881	0.04504560435
882	0.04499789282
883	0.04494663791
884	0.04488598202
885	0.04484548401
886	0.04479975486
887	0.04475507709
888	0.04472468343
889	0.0446868614
890	0.04463243145
891	0.0445843461
892	0.0445373607
893	0.0444746653
894	0.04442935401
895	0.04439451604
896	0.04434132243
897	0.0442823419
898	0.04423597819
899	0.04418716511
900	0.04414449979
901	0.04409997204
902	0.04405368446
903	0.04402052301
904	0.04397733694
905	0.04392094063
906	0.04389040654
907	0.04385892146
908	0.04381107114
909	0.04377592573
910	0.04373845629
911	0.04368493788
912	0.04361396962
913	0.04358168705
914	0.04352791435
915	0.04348295266
916	0.04344579292
917	0.04341302953
918	0.04334294111
919	0.04328702173
920	0.04323862995
921	0.04319813484
922	0.04314662036
923	0.04308870228
924	0.0430436397
925	0.04301810794
926	0.0429835224
927	0.04293185173
928	0.04287588703
929	0.04284279441
930	0.04280868517
931	0.04275873211
932	0.04272355593
933	0.04267997224
934	0.04264497491
935	0.04259794348
936	0.04255292131
937	0.04251929741
938	0.04248559988
939	0.04243405839
940	0.04239720293
941	0.04234002917
942	0.04229686637
943	0.04226608753
944	0.04222680883
945	0.0421914345
946	0.04215129236
947	0.04212788373
948	0.04209309754
949	0.04203292525
950	0.04199893841
951	0.04196212731
952	0.04192110268
953	0.04188515311
954	0.04184812916
955	0.04178833327
956	0.04175229301
957	0.04171139099
958	0.04169720792
959	0.04165753947
960	0.04163045073
961	0.04158064051
962	0.04153963903
963	0.04151636553
964	0.04147817242
965	0.04144312249
966	0.04141432634
967	0.04136710793
968	0.04131781696
969	0.04127685491
970	0.04123709204
971	0.04118699442
972	0.04115452214
973	0.04112612396
974	0.04109962702
975	0.04106588321
976	0.04102527402
977	0.04095721372
978	0.04090441708
979	0.04084693625
980	0.04080952631
981	0.04076126678
982	0.04072451834
983	0.04069532539
984	0.04063389424
985	0.04059252027
986	0.04054488035
987	0.04050404974
988	0.04046776984
989	0.04041660949
990	0.04036870968
991	0.04034286658
992	0.04032380207
993	0.04028720629
994	0.04026512754
995	0.0402378978
996	0.04018983292
997	0.04015687504
998	0.04012042926
999	0.0400801588
1000	0.04004345715
1001	0.04001215898
1002	0.03996127011
1003	0.03993262367
1004	0.03989942645
1005	0.03986556922
1006	0.03983394827
1007	0.03981029882
1008	0.03977261018
1009	0.0397496817
1010	0.03970550992
1011	0.03966399011
1012	0.0396399764
1013	0.03960106525
1014	0.03955669299
1015	0.03951521821
1016	0.03947711581
1017	0.039427526
1018	0.03939672453
1019	0.03936024868
1020	0.03932348528
1021	0.03929701894
1022	0.03925777304
1023	0.0392224183
1024	0.03919316917
1025	0.03916810933
1026	0.03914699309
1027	0.03910598742
1028	0.03906578657
1029	0.03900624536
1030	0.0389729063
1031	0.03894629301
1032	0.03893150271
1033	0.03889964793
1034	0.03886307876
1035	0.03884796911
1036	0.03881140965
1037	0.03878594798
1038	0.03875562405
1039	0.03870466172
1040	0.03868551371
1041	0.03865228086
1042	0.03862195812
1043	0.03857473307
1044	0.03853329152
1045	0.03848240813
1046	0.03845636452
1047	0.03843489974
1048	0.03839645936
1049	0.03835971155
1050	0.03833601524
1051	0.03829388344
1052	0.03825826723
1053	0.03822199552
1054	0.0381957096
1055	0.0381526543
1056	0.0381326103
1057	0.03809067471
1058	0.03805605492
1059	0.03801919459
1060	0.03798072027
1061	0.03793263828
1062	0.03789363743
1063	0.03787024649
1064	0.03782302916
1065	0.03778512464
1066	0.03774488785
1067	0.03771250666
1068	0.03769451659
1069	0.03766504845
1070	0.03763814354
1071	0.03761467252
1072	0.0375922771
1073	0.03755047006
1074	0.03751559613
1075	0.03749007162
1076	0.0374532412
1077	0.03741721118
1078	0.03739569896
1079	0.037375424
1080	0.03733977127
1081	0.03731434104
1082	0.03728129755
1083	0.03723562512
1084	0.03719729969
1085	0.03717262374
1086	0.03714896731
1087	0.03711626223
1088	0.03708589259
1089	0.03705109111
1090	0.03701614057
1091	0.03697849084
1092	0.03693063923
1093	0.03690546633
1094	0.03686327772
1095	0.03682573777
1096	0.03680671429
1097	0.03678226372
1098	0.03675403091
1099	0.03672785945
1100	0.03668173866
1101	0.03664536638
1102	0.03659788524
1103	0.03656637997
1104	0.03654282237
1105	0.03651398142
1106	0.03646878652
1107	0.03643425507
1108	0.03639784836
1109	0.03636009706
1110	0.03631599073
1111	0.03628777831
1112	0.03624096984
1113	0.0361904317
1114	0.03616400702
1115	0.03613418879
1116	0.03608528704
1117	0.03606168864
1118	0.03604558898
1119	0.03601837867
1120	0.03599120778
1121	0.03595695918
1122	0.03593071203
1123	0.03590158645
1124	0.03587768536
1125	0.03582763691
1126	0.03580882226
1127	0.03577826319
1128	0.03574442284
1129	0.03572008669
1130	0.03569651169
1131	0.03565487114
1132	0.0356129614
1133	0.035588612
1134	0.0355746056
1135	0.03554660892
1136	0.0355168718
1137	0.03548656674
1138	0.03546559179
1139	0.0354346969
1140	0.03541579733
1141	0.03538366426
1142	0.0353401916
1143	0.03531487476
1144	0.03529194631
1145	0.03527197215
1146	0.03523371378
1147	0.03521635057
1148	0.0351937036
1149	0.03517943835
1150	0.0351489347
1151	0.03511461891
1152	0.03508865697
1153	0.03507106775
1154	0.03503418828
1155	0.03500759038
1156	0.03498747865
1157	0.03497192141
1158	0.03493950299
1159	0.03491187908
